r_fighter,b_fighter
Yushin Okami,Mike Swick
Kendall Grove,Alan Belcher
Heath Herring,Brad Imes
Thales Leites,Pete Sell
Marcus Davis,Pete Spratt
Luke Cummo,Josh Haynes
Gabriel Gonzaga,Mirko Filipovic
Andrei Arlovski,Fabricio Werdum
Michael Bisping,Elvis Sinosic
Lyoto Machida,David Heath
Paul Taylor,Edilberto de Oliveira
Terry Etim,Matt Grice
Junior Assuncao,David Lee
Alessio Sakara,Victor Valimaki
Jess Liaudin,Dennis Siver
Cheick Kongo,Assuerio Silva
Terry Martin,Ivan Salaverry
Quinton Jackson,Chuck Liddell
Houston Alexander,Keith Jardine
Karo Parisyan,Joshua Burkman
Thiago Silva,James Irvin
Din Thomas,Jeremy Stephens
Kalib Starnes,Chris Leben
Alan Belcher,Sean Salmon
Wilson Gouveia,Carmelo Marrero
Nate Mohr,Luke Caudillo
Anthony Johnson,Chad Reiner
Gleison Tibau,Jeff Cox
Tamdan McCrory,Pete Spratt
Thiago Tavares,Jason Black
Drew McFedries,Jordan Radev
Jon Fitch,Roan Carneiro
Spencer Fisher,Sam Stout
Forrest Petz,Luigi Fioravanti
Jason MacDonald,Rory Singer
Rich Franklin,Yushin Okami
Forrest Griffin,Hector Ramirez
Ed Herman,Scott Smith
Marcus Davis,Jason Tan
Eddie Sanchez,Colin Robinson
Dustin Hazelett,Stevie Lynch
Tyson Griffin,Clay Guida
Matt Wiman,Brian Geraghty
Leonard Garcia,Allen Berube
Cole Miller,Andy Wang
Joe Lauzon,Brandon Melendez
Roger Huerta,Doug Evans
Thales Leites,Floyd Sword
Nate Diaz,Manvel Gamburyan
BJ Penn,Jens Pulver
Sean Sherk,Hermes Franca
Kenny Florian,Alvin Robinson
Anderson Silva,Nate Marquardt
Antonio Rodrigo Nogueira,Heath Herring
Rashad Evans,Tito Ortiz
Jorge Gurgel,Diego Saraiva
Frankie Edgar,Mark Bocek
Stephan Bonnar,Mike Nickels
Chris Lytle,Jason Gilliam
Clay Guida,Marcus Aurelio
Thales Leites,Ryan Jensen
Frank Mir,Antoni Hardonk
Renato Sobral,David Heath
Patrick Cote,Kendall Grove
Joe Stevenson,Kurt Pellegrino
Roger Huerta,Alberto Crane
Georges St-Pierre,Josh Koscheck
Randy Couture,Gabriel Gonzaga
Quinton Jackson,Dan Henderson
Michael Bisping,Matt Hamill
Cheick Kongo,Mirko Filipovic
Marcus Davis,Paul Taylor
Thiago Silva,Tomasz Drwal
Gleison Tibau,Terry Etim
Dennis Siver,Naoyuki Kotani
Houston Alexander,Alessio Sakara
